PkRzeszPilsu-PM2.5-1g,PkRzeszPilsu-PM10-1g,PkRzeszPilsu-CO-1g,PkRzeszPilsu-NO2-1g,PkRzeszRejta-O3-1g,PkRzeszRejta-SO2-1g,Date
,,297.0,22.6,47.4,2.5,2025-04-08 12:00:00
,,291.0,,44.2,2.4,2025-04-08 11:00:00
,,249.0,19.4,47.1,2.5,2025-04-08 10:00:00
21.6,23.9,261.0,25.1,38.4,2.5,2025-04-08 09:00:00
20.4,21.2,331.0,33.3,32.8,2.5,2025-04-08 08:00:00
18.2,18.8,315.0,42.4,37.0,2.4,2025-04-08 07:00:00
16.0,16.6,214.0,18.3,42.9,2.3,2025-04-08 06:00:00
13.6,14.1,191.0,9.3,45.5,2.3,2025-04-08 05:00:00
11.8,12.3,178.0,4.8,44.1,2.1,2025-04-08 04:00:00
11.6,12.2,179.0,5.1,52.2,2.4,2025-04-08 03:00:00
12.7,15.1,194.0,6.6,48.3,2.6,2025-04-08 02:00:00
13.3,15.6,207.0,7.5,52.1,3.0,2025-04-08 01:00:00
13.2,15.9,224.0,15.4,50.9,3.0,2025-04-08 00:00:00
