Date,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,source,tzoffset
2025-03-28 00:00:00,1743116400,4.3,2.5,86.79,2.3,0.0,0.0,0.0,0.0,,17.3,7.4,12.0,1019.7,10.3,99.9,0.0,0.0,0.0,10.0,Overcast,cloudy,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 01:00:00,1743120000,4.8,2.8,86.89,2.8,0.0,0.0,0.0,0.0,,19.4,8.3,26.0,1019.5,10.3,64.4,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 02:00:00,1743123600,3.1,1.1,93.39,2.2,0.0,0.0,0.0,0.0,,19.8,7.5,30.0,1018.9,10.3,68.9,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 03:00:00,1743127200,3.1,0.6,92.58,2.0,0.0,0.0,0.0,0.0,,20.9,9.3,32.0,1018.7,10.1,27.6,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 04:00:00,1743130800,2.1,2.1,92.93,1.1,0.0,0.0,0.0,0.0,,20.9,3.1,51.0,1018.7,10.0,50.5,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 05:00:00,1743134400,2.1,-0.3,97.82,1.8,0.0,0.0,0.0,0.0,,21.2,8.4,37.0,1018.7,9.9,11.2,0.0,0.0,0.0,10.0,Clear,clear-night,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 06:00:00,1743138000,2.1,-1.0,93.91,1.2,0.0,0.0,0.0,0.0,,23.4,10.9,22.0,1018.7,9.9,12.1,12.3,0.0,0.0,10.0,Clear,clear-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 07:00:00,1743141600,4.1,1.3,88.88,2.4,0.0,0.0,0.0,0.0,,14.7,11.2,36.0,1018.4,10.0,14.6,93.3,0.3,1.0,10.0,Clear,clear-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 08:00:00,1743145200,6.9,3.4,81.46,4.0,0.0,0.0,0.0,0.0,,34.9,21.6,70.0,1017.7,12.2,29.2,236.7,0.9,2.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 09:00:00,1743148800,8.0,4.4,76.72,4.1,0.0,0.0,0.0,0.0,,39.6,25.1,95.0,1017.5,14.5,33.3,366.5,1.3,4.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 10:00:00,1743152400,9.8,7.1,71.43,4.9,0.0,0.0,0.0,0.0,,28.8,20.8,104.0,1016.6,14.5,28.8,486.0,1.7,5.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 11:00:00,1743156000,11.0,11.0,68.92,5.5,0.0,0.0,0.0,0.0,,36.0,15.5,105.0,1016.4,14.6,28.8,537.6,1.9,5.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 12:00:00,1743159600,13.1,13.1,62.45,6.1,0.0,0.0,0.0,0.0,,36.1,19.3,90.0,1015.4,14.6,37.9,515.4,1.9,5.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 13:00:00,1743163200,14.9,14.9,55.79,6.1,0.0,0.0,0.0,0.0,,43.1,25.3,100.0,1014.4,19.3,64.4,521.7,1.9,5.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
2025-03-28 14:00:00,1743166800,14.0,14.0,59.07,6.1,0.0,0.0,0.0,0.0,,43.3,28.8,105.0,1014.2,19.4,42.4,448.8,1.6,4.0,10.0,Partially cloudy,partly-cloudy-day,"['12575099999', 'EPRZ', '12670099999', '12690099999', '12580099999', '12695099999']",obs,
