Date,datetimeEpoch,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations,source
2025-04-15 00:00:00,1744668000,12.0,12.0,76.51,8.0,0.0,0.0,0.0,0.0,,19.1,18.4,120.0,1015.0,10.0,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 01:00:00,1744671600,12.0,12.0,76.51,8.0,0.0,0.0,0.0,0.0,,16.9,11.2,150.0,1015.0,10.0,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 02:00:00,1744675200,12.0,12.0,76.51,8.0,0.0,0.0,0.0,0.0,,12.6,9.4,100.0,1015.0,10.0,97.2,0.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 03:00:00,1744678800,11.0,11.0,81.74,8.0,0.0,0.0,0.0,0.0,,13.3,11.2,90.0,1014.0,10.0,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 04:00:00,1744682400,11.0,11.0,81.74,8.0,0.0,0.0,0.0,0.0,,11.9,14.8,100.0,1014.0,10.0,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 05:00:00,1744686000,10.0,8.1,87.38,8.0,0.0,0.0,0.0,0.0,,12.2,13.0,90.0,1014.0,10.0,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 06:00:00,1744689600,10.0,7.9,87.38,8.0,0.0,0.0,0.0,0.0,,11.9,14.8,80.0,1013.0,10.0,100.0,1.0,0.0,0.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 07:00:00,1744693200,11.0,11.0,81.74,8.0,0.0,0.0,0.0,0.0,,13.7,14.8,80.0,1014.0,10.0,100.0,56.0,0.2,1.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 08:00:00,1744696800,12.0,12.0,76.51,8.0,0.0,0.0,0.0,0.0,,15.8,16.6,110.0,1013.0,10.0,100.0,121.0,0.4,1.0,10.0,Overcast,cloudy,['EPRZ'],obs
2025-04-15 09:00:00,1744700400,12.0,12.0,76.51,8.0,0.1,100.0,0.0,0.0,['rain'],20.9,18.4,100.0,1013.0,10.0,97.7,123.0,0.4,1.0,10.0,"Rain, Overcast",rain,['EPRZ'],obs
2025-04-15 10:00:00,1744704000,13.0,13.0,82.0,10.0,0.2,100.0,0.0,0.0,['rain'],24.8,13.0,110.0,1014.0,10.0,25.0,38.0,0.1,0.0,10.0,"Rain, Partially cloudy",rain,['EPRZ'],obs
2025-04-15 11:00:00,1744707600,14.0,14.0,76.83,10.0,0.3,100.0,0.0,0.0,['rain'],25.6,16.6,140.0,1014.0,10.0,88.0,76.0,0.3,1.0,10.0,"Rain, Partially cloudy",rain,['EPRZ'],obs
2025-04-15 12:00:00,1744711200,13.9,13.9,79.43,10.4,0.4,100.0,0.0,0.0,['rain'],25.6,13.0,150.8,1014.0,9.3,99.1,43.0,0.2,0.0,10.0,"Rain, Overcast",rain,['remote'],obs
